"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"Indelingswijziging_4";"AantalInwoners_5";"TotaalVermogenVernielingEnGeweld_6";"TotaalVermogensmisdrijven_7";"TotaalDiefstal_8";"Fietsendiefstal_9";"DiefstalOverigeVervoermiddelen_10";"DiefstalUitVanafVervoermiddelen_11";"ZakkenrollerijStraatroofEnBeroving_12";"TotaalDiefstalUitWoningSchuurED_13";"DiefstalUitNietResidentieleGebouwen_14";"OverigeDiefstalInbraak_15";"OverigeVermogensmisdrijven_16";"TotaalVernielingTegenOpenbareOrde_17";"TotaalVernieling_18";"VernielingAanAuto_19";"OverigeVernieling_20";"OverigeVernielingTegenOpenbareOrde_21";"TotaalGeweldsEnSeksueleMisdrijven_22";"Mishandeling_23";"BedreigingEnStalking_24";"OverigeGeweldsEnSeksueleMisdrijven_25";"TotaalVermogenVernielingEnGeweld_26";"TotaalVermogensmisdrijven_27";"TotaalDiefstalUitWoningSchuurED_28";"VernielingMisdrijfTegenOpenbareOrde_29";"GeweldsEnSeksueleMisdrijven_30"
"0";"GM1680    ";"Aa en Hunze                   ";"Gemeente";"GM1680    ";;"25286";"405";"272";"189";"25";"6";"5";"3";"58";"23";"69";"83";"76";"71";"16";"55";"5";"57";"19";"21";"17";"16";"11";"2";"3";"2"
"1";"WK168000  ";"Aa en Hunze                   ";"Wijk    ";"WK168000  ";"1";"3542";"37";"29";"16";"2";"0";"0";"0";"6";"3";"5";"13";"3";"3";"2";"1";"0";"5";"0";"4";"1";"10";"8";"2";"1";"1"
"2";"BU16800000";"Aa en Hunze                   ";"Buurt   ";"BU16800000";"1";"3392";"36";"28";"15";"1";"0";"0";"0";"6";"3";"5";"13";"3";"3";"2";"1";"0";"5";"0";"4";"1";"11";"8";"2";"1";"1"
"3";"BU16800009";"Aa en Hunze                   ";"Buurt   ";"BU16800009";"1";"150";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"7";"0";"0";"0"
"4";"WK168001  ";"Aa en Hunze                   ";"Wijk    ";"WK168001  ";"1";"1417";"15";"10";"5";"0";"0";"2";"0";"0";"1";"2";"5";"4";"3";"1";"2";"1";"1";"1";"0";"0";"11";"7";"0";"2";"1"
"5";"BU16800100";"Aa en Hunze                   ";"Buurt   ";"BU16800100";"1";"1245";"11";"7";"2";"0";"0";"0";"0";"0";"0";"2";"5";"3";"2";"0";"2";"1";"1";"1";"0";"0";"9";"6";"0";"2";"1"
"6";"BU16800109";"Aa en Hunze                   ";"Buurt   ";"BU16800109";"1";"172";"4";"3";"3";"0";"0";"2";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"23";"17";"0";"6";"0"
"7";"WK168002  ";"Aa en Hunze                   ";"Wijk    ";"WK168002  ";"1";"463";"9";"6";"5";"0";"0";"0";"0";"2";"0";"3";"1";"0";"0";"0";"0";"0";"3";"2";"1";"0";"19";"13";"4";"0";"6"
"8";"BU16800200";"Aa en Hunze                   ";"Buurt   ";"BU16800200";"1";"331";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"6";"3";"0";"0";"3"
"9";"BU16800209";"Aa en Hunze                   ";"Buurt   ";"BU16800209";"1";"132";"7";"5";"4";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"53";"38";"15";"0";"15"
"10";"WK168003  ";"Aa en Hunze                   ";"Wijk    ";"WK168003  ";"1";"409";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"3";"0";"3";"0";"0";"0";"0";"0";"12";"5";"0";"7";"0"
"11";"BU16800300";"Aa en Hunze                   ";"Buurt   ";"BU16800300";"1";"397";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"3";"0";"3";"0";"0";"0";"0";"0";"10";"3";"0";"8";"0"
"12";"BU16800309";"Aa en Hunze                   ";"Buurt   ";"BU16800309";"1";"12";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;
"13";"WK168004  ";"Aa en Hunze                   ";"Wijk    ";"WK168004  ";"1";"266";"3";"2";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"11";"8";"4";"0";"4"
"14";"BU16800400";"Aa en Hunze                   ";"Buurt   ";"BU16800400";"1";"238";"3";"2";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"13";"8";"4";"0";"4"
"15";"BU16800409";"Aa en Hunze                   ";"Buurt   ";"BU16800409";"1";"28";;;;;;;;;;;;;;;;;;;;;;;;;
"16";"WK168005  ";"Aa en Hunze                   ";"Wijk    ";"WK168005  ";"1";"589";"6";"4";"3";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"1";"10";"7";"0";"0";"3"
"17";"BU16800500";"Aa en Hunze                   ";"Buurt   ";"BU16800500";"1";"542";"5";"3";"2";"0";"0";"1";"0";"0";;;"1";"0";"0";"0";"0";"0";"2";"1";"0";"1";"9";"6";"0";"0";"4"
"18";"BU16800509";"Aa en Hunze                   ";"Buurt   ";"BU16800509";"1";"47";"1";"1";"1";"0";"0";"0";"0";"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;
"19";"WK168006  ";"Aa en Hunze                   ";"Wijk    ";"WK168006  ";"1";"439";"7";"5";"2";"0";"0";"0";"0";"1";"0";"1";"3";"1";"1";"0";"1";"0";"1";"0";"0";"1";"16";"11";"2";"2";"2"
"20";"BU16800600";"Aa en Hunze                   ";"Buurt   ";"BU16800600";"1";"428";"7";"5";"2";"0";"0";"0";"0";"1";"0";"1";"3";"1";"1";"0";"1";"0";"1";"0";"0";"1";"16";"12";"2";"2";"2"
"21";"BU16800609";"Aa en Hunze                   ";"Buurt   ";"BU16800609";"1";"11";;;;;;;;;;;;;;;;;;;;;;;;;
"22";"WK168007  ";"Aa en Hunze                   ";"Wijk    ";"WK168007  ";"1";"144";"2";"2";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"14";"0";"0";"0"
"23";"BU16800700";"Aa en Hunze                   ";"Buurt   ";"BU16800700";"1";"144";"2";"2";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"14";"0";"0";"0"
"24";"BU16800709";"Aa en Hunze                   ";"Buurt   ";"BU16800709";"1";"0";;;;;;;;;;;;;;;;;;;;;;;;;
"25";"WK168008  ";"Aa en Hunze                   ";"Wijk    ";"WK168008  ";"1";"104";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"BU16800800";"Aa en Hunze                   ";"Buurt   ";"BU16800800";"1";"97";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"27";"BU16800809";"Aa en Hunze                   ";"Buurt   ";"BU16800809";"1";"7";;;;;;;;;;;;;;;;;;;;;;;;;
