"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"Indelingswijziging_4";"AantalInwoners_5";"TotaalVermogenVernielingEnGeweld_6";"TotaalVermogensmisdrijven_7";"TotaalDiefstal_8";"Fietsendiefstal_9";"DiefstalOverigeVervoermiddelen_10";"DiefstalUitVanafVervoermiddelen_11";"ZakkenrollerijStraatroofEnBeroving_12";"TotaalDiefstalUitWoningSchuurED_13";"DiefstalUitNietResidentieleGebouwen_14";"OverigeDiefstalInbraak_15";"OverigeVermogensmisdrijven_16";"TotaalVernielingTegenOpenbareOrde_17";"TotaalVernieling_18";"VernielingAanAuto_19";"OverigeVernieling_20";"OverigeVernielingTegenOpenbareOrde_21";"TotaalGeweldsEnSeksueleMisdrijven_22";"Mishandeling_23";"BedreigingEnStalking_24";"OverigeGeweldsEnSeksueleMisdrijven_25";"TotaalVermogenVernielingEnGeweld_26";"TotaalVermogensmisdrijven_27";"TotaalDiefstalUitWoningSchuurED_28";"VernielingMisdrijfTegenOpenbareOrde_29";"GeweldsEnSeksueleMisdrijven_30"
"0";"GM1680    ";"Aa en Hunze                   ";"Gemeente";"GM1680    ";;"25390";"423";"284";"199";"24";"3";"13";"1";"60";"38";"60";"85";"73";"59";"14";"45";"14";"66";"26";"23";"17";"17";"11";"2";"2";"3"
"1";"WK168000  ";"Aa en Hunze                   ";"Wijk    ";"WK168000  ";"1";"3560";"38";"22";"16";"2";"0";"2";"0";"2";"7";"3";"6";"9";"8";"1";"7";"1";"7";"3";"3";"1";"11";"6";"1";"2";"2"
"2";"BU16800000";"Aa en Hunze                   ";"Buurt   ";"BU16800000";"1";"3415";"37";"21";"15";"2";"0";"2";"0";"2";"6";"3";"6";"9";"8";"1";"7";"1";"7";"3";"3";"1";"11";"6";"1";"2";"2"
"3";"BU16800009";"Aa en Hunze                   ";"Buurt   ";"BU16800009";"1";"145";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"7";"0";"0";"0"
"4";"WK168001  ";"Aa en Hunze                   ";"Wijk    ";"WK168001  ";"1";"1430";"19";"16";"12";"0";"1";"0";"0";"3";"4";"4";"4";"1";"1";"0";"1";"0";"2";"1";"0";"1";"13";"11";"2";"1";"1"
"5";"BU16800100";"Aa en Hunze                   ";"Buurt   ";"BU16800100";"1";"1260";"13";"12";"8";"0";"1";"0";"0";"3";"2";"2";"4";"0";"0";"0";"0";"0";"1";"0";"0";"1";"10";"10";"2";"0";"1"
"6";"BU16800109";"Aa en Hunze                   ";"Buurt   ";"BU16800109";"1";"170";"6";"4";"4";"0";"0";"0";"0";"0";"2";"2";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"35";"24";"0";"6";"6"
"7";"WK168002  ";"Aa en Hunze                   ";"Wijk    ";"WK168002  ";"1";"445";"10";"8";"6";"0";"0";"0";"1";"0";"4";"1";"2";"2";"1";"0";"1";"1";"0";"0";"0";"0";"22";"18";"0";"2";"0"
"8";"BU16800200";"Aa en Hunze                   ";"Buurt   ";"BU16800200";"1";"325";"9";"8";"6";"0";"0";"0";"1";"0";"4";"1";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"28";"25";"0";"3";"0"
"9";"BU16800209";"Aa en Hunze                   ";"Buurt   ";"BU16800209";"1";"125";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"8";"0";"0";"0";"0"
"10";"WK168003  ";"Aa en Hunze                   ";"Wijk    ";"WK168003  ";"1";"405";"7";"6";"4";"1";"0";"0";"0";"1";"2";"0";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"17";"15";"2";"2";"0"
"11";"BU16800300";"Aa en Hunze                   ";"Buurt   ";"BU16800300";"1";"390";"7";"6";"4";"1";"0";"0";"0";"1";"2";"0";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"18";"15";"3";"3";"0"
"12";"BU16800309";"Aa en Hunze                   ";"Buurt   ";"BU16800309";"1";"15";;;;;;;;;;;;;;;;;;;;;;;;;
"13";"WK168004  ";"Aa en Hunze                   ";"Wijk    ";"WK168004  ";"1";"260";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"8";"4";"4";"4";"0"
"14";"BU16800400";"Aa en Hunze                   ";"Buurt   ";"BU16800400";"1";"230";;;;;;;;;;;;;;;;;;;;;;;;;
"15";"BU16800409";"Aa en Hunze                   ";"Buurt   ";"BU16800409";"1";"30";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";;;;;
"16";"WK168005  ";"Aa en Hunze                   ";"Wijk    ";"WK168005  ";"1";"595";"9";"9";"9";"0";"0";"0";"0";"6";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"15";"10";"0";"0"
"17";"BU16800500";"Aa en Hunze                   ";"Buurt   ";"BU16800500";"1";"540";"8";"8";"8";"0";"0";"0";"0";"5";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"15";"9";"0";"0"
"18";"BU16800509";"Aa en Hunze                   ";"Buurt   ";"BU16800509";"1";"55";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"18";"18";"0";"0"
"19";"WK168006  ";"Aa en Hunze                   ";"Wijk    ";"WK168006  ";"1";"435";"5";"5";"2";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"11";"0";"0";"0"
"20";"BU16800600";"Aa en Hunze                   ";"Buurt   ";"BU16800600";"1";"425";"5";"5";"2";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"12";"0";"0";"0"
"21";"BU16800609";"Aa en Hunze                   ";"Buurt   ";"BU16800609";"1";"15";;;;;;;;;;;;;;;;;;;;;;;;;
"22";"WK168007  ";"Aa en Hunze                   ";"Wijk    ";"WK168007  ";"1";"150";"2";"2";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"13";"7";"0";"0"
"23";"BU16800700";"Aa en Hunze                   ";"Buurt   ";"BU16800700";"1";"150";"2";"2";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"13";"7";"0";"0"
"24";"BU16800709";"Aa en Hunze                   ";"Buurt   ";"BU16800709";"1";"0";;;;;;;;;;;;;;;;;;;;;;;;;
"25";"WK168008  ";"Aa en Hunze                   ";"Wijk    ";"WK168008  ";"1";"105";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"0";"0";"0"
"26";"BU16800800";"Aa en Hunze                   ";"Buurt   ";"BU16800800";"1";"100";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"0";"0";"0"
"27";"BU16800809";"Aa en Hunze                   ";"Buurt   ";"BU16800809";"1";"10";;;;;;;;;;;;;;;;;;;;;;;;;
"28";"WK168009  ";"Aa en Hunze                   ";"Wijk    ";"WK168009  ";"1";"130";"5";"4";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"38";"31";"0";"0";"8"
"29";"BU16800900";"Aa en Hunze                   ";"Buurt   ";"BU16800900";"1";"125";"5";"4";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"40";"32";"0";"0";"8"
"30";"BU16800909";"Aa en Hunze                   ";"Buurt   ";"BU16800909";"1";"10";;;;;;;;;;;;;;;;;;;;;;;;;
"31";"WK168011  ";"Aa en Hunze                   ";"Wijk    ";"WK168011  ";"1";"400";"5";"5";"2";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"13";"5";"0";"0"
"32";"BU16801100";"Aa en Hunze                   ";"Buurt   ";"BU16801100";"1";"400";"5";"5";"2";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"13";"5";"0";"0"
"33";"BU16801109";"Aa en Hunze                   ";"Buurt   ";"BU16801109";"1";"5";;;;;;;;;;;;;;;;;;;;;;;;;
"34";"WK168012  ";"Aa en Hunze                   ";"Wijk    ";"WK168012  ";"1";"305";"13";"8";"6";"0";"0";"0";"0";"2";"0";"4";"2";"2";"2";"0";"2";"0";"3";"1";"0";"2";"43";"26";"7";"7";"10"
"35";"BU16801200";"Aa en Hunze                   ";"Buurt   ";"BU16801200";"1";"265";"11";"6";"5";"0";"0";"0";"0";"2";"0";"3";"1";"2";"2";"0";"2";"0";"3";"1";"0";"2";"42";"23";"8";"8";"11"
"36";"BU16801209";"Aa en Hunze                   ";"Buurt   ";"BU16801209";"1";"45";"2";"2";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;
"37";"WK168013  ";"Aa en Hunze                   ";"Wijk    ";"WK168013  ";"1";"140";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"14";"0";"0";"0"
"38";"BU16801300";"Aa en Hunze                   ";"Buurt   ";"BU16801300";"1";"105";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"19";"0";"0";"0"
"39";"BU16801309";"Aa en Hunze                   ";"Buurt   ";"BU16801309";"1";"35";;;;;;;;;;;;;;;;;;;;;;;;;
"40";"WK168014  ";"Aa en Hunze                   ";"Wijk    ";"WK168014  ";"1";"1905";"39";"19";"13";"2";"0";"1";"0";"1";"5";"4";"6";"9";"8";"3";"5";"1";"11";"7";"2";"2";"20";"10";"1";"4";"6"
"41";"BU16801400";"Aa en Hunze                   ";"Buurt   ";"BU16801400";"1";"1515";"22";"13";"7";"1";"0";"0";"0";"1";"3";"2";"6";"1";"1";"0";"1";"0";"8";"5";"2";"1";"15";"9";"1";"1";"5"
"42";"BU16801401";"Aa en Hunze                   ";"Buurt   ";"BU16801401";"1";"140";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"2";"0";"0";"0";"0";"0";"0";"14";"0";"0";"14";"0"
"43";"BU16801409";"Aa en Hunze                   ";"Buurt   ";"BU16801409";"1";"255";"15";"6";"6";"1";"0";"1";"0";"0";"2";"2";"0";"6";"5";"1";"4";"1";"3";"2";"0";"1";"59";"24";"0";"20";"12"
"44";"WK168015  ";"Aa en Hunze                   ";"Wijk    ";"WK168015  ";"1";"1850";"37";"21";"15";"0";"0";"2";"0";"7";"2";"4";"6";"6";"6";"2";"4";"0";"10";"2";"7";"1";"20";"11";"4";"3";"5"
"45";"BU16801500";"Aa en Hunze                   ";"Buurt   ";"BU16801500";"1";"1805";"36";"20";"15";"0";"0";"2";"0";"7";"2";"4";"5";"6";"6";"2";"4";"0";"10";"2";"7";"1";"20";"11";"4";"3";"6"
"46";"BU16801501";"Aa en Hunze                   ";"Buurt   ";"BU16801501";"1";"50";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"20";"0";"0";"0"
"47";"BU16801509";"Aa en Hunze                   ";"Buurt   ";"BU16801509";"1";"0";;;;;;;;;;;;;;;;;;;;;;;;;
"48";"WK168016  ";"Aa en Hunze                   ";"Wijk    ";"WK168016  ";"1";"665";"5";"4";"1";"0";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"8";"6";"0";"0";"0"
"49";"BU16801600";"Aa en Hunze                   ";"Buurt   ";"BU16801600";"1";"615";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"7";"5";"0";"0";"0"
"50";"BU16801601";"Aa en Hunze                   ";"Buurt   ";"BU16801601";"1";"40";;;;;;;;;;;;;;;;;;;;;;;;;
