ID;RegioS;Perioden;Mannen_2;Vrouwen_3;TotaalMetMigratieachtergrond_35;Bevolkingsdichtheid_57;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;TypeEenpersoonshuishouden_133;TypeEenoudergezin_134;TypePaarZonderKind_135;TypePaarMetKindEren_136;BronInkomenAlsWerknemer_137;BronInkomenAlsZelfstandige_138;Werkloosheid_155
14331;GM0579;2018JJ00;11495;12392;5600;3269;    70.5;    28.5;     1.0;     6.1;    10.2;    31.0;    30.4;    44.5;    46.0;    42.9;    48.4;290
14332;GM0579;2019JJ00;11765;12661;5879;3343;    71.9;    27.2;     0.9;     6.1;    10.4;    32.3;    32.7;    49.8;    51.1;    44.9;    59.4;270
14358;GM0823;2017JJ00;9305;9194;1315;182;    75.9;    21.8;     2.3;    10.3;     7.4;    25.8;    29.3;    35.6;    37.0;    34.6;    44.3;280
14359;GM0823;2018JJ00;9341;9217;1384;182;    76.5;    21.4;     2.1;    10.6;     7.5;    27.0;    28.9;    35.5;    37.1;    35.1;    45.6;240
14360;GM0823;2019JJ00;9370;9253;1437;183;    76.4;    23.4;     0.2;    10.9;     7.6;    31.7;    30.8;    38.5;    41.7;    36.8;    55.0;220
14386;GM0824;2017JJ00;12758;13178;2904;406;    66.6;    32.6;     0.8;     9.8;    11.0;    26.6;    28.0;    40.7;    38.2;    34.7;    50.0;420
14387;GM0824;2018JJ00;12866;13266;3005;409;    67.9;    30.6;     1.6;     9.6;    11.1;    27.1;    28.1;    40.4;    39.4;    36.0;    55.9;320
14388;GM0824;2019JJ00;12863;13277;3018;409;    68.6;    31.2;     0.2;    10.1;    11.1;    30.3;    30.0;    44.6;    44.7;    37.3;    69.6;310
14414;GM1895;2017JJ00;18914;19194;4011;168;    61.9;    37.7;     0.4;    12.8;    17.8;    21.4;    21.5;    27.7;    28.5;    28.6;    35.5;770
14415;GM1895;2018JJ00;18913;19162;4159;168;    62.7;    36.9;     0.4;    13.1;    17.8;    21.8;    21.9;    27.9;    28.8;    28.8;    37.4;600
14416;GM1895;2019JJ00;18980;19149;4246;168;    63.8;    36.0;     0.2;    13.6;    17.8;    23.0;    23.3;    30.1;    30.1;    29.9;    40.3;490
