ID;RegioS;Perioden;Mannen_2;Vrouwen_3;TotaalMetMigratieachtergrond_35;Bevolkingsdichtheid_57;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;TypeEenpersoonshuishouden_133;TypeEenoudergezin_134;TypePaarZonderKind_135;TypePaarMetKindEren_136;BronInkomenAlsWerknemer_137;BronInkomenAlsZelfstandige_138;Werkloosheid_155
1618;GM1680;2017JJ00;12603;12683;1584;92;    70.7;    27.7;     1.6;     5.6;    10.9;    25.0;    24.6;    33.8;    34.1;    33.1;    42.2;510
1619;GM1680;2018JJ00;12666;12724;1644;92;    73.1;    25.4;     1.5;     6.0;    11.0;    25.7;    25.0;    33.9;    34.0;    33.2;    44.0;410
1620;GM1680;2019JJ00;12659;12727;1707;92;    74.1;    25.7;     0.2;     6.1;    11.1;    26.2;    26.3;    35.0;    36.6;    34.5;    47.7;310
1646;GM0738;2017JJ00;6615;6452;759;259;    71.6;    28.3;     0.2;     3.4;     4.9;    24.2;    26.0;    32.9;    33.7;    31.2;    41.9;160
1647;GM0738;2018JJ00;6684;6469;789;261;    72.4;    26.9;     0.6;     3.6;     5.0;    25.3;    26.4;    33.1;    34.0;    31.8;    43.1;120
1648;GM0738;2019JJ00;;;;;;;;;;;;;;;;
1674;GM0358;2017JJ00;15516;15857;5856;1559;    63.1;    35.0;     1.9;    17.1;    12.8;    28.8;    26.6;    37.7;    39.4;    34.8;    47.6;470
1675;GM0358;2018JJ00;15596;15903;6062;1566;    64.1;    34.0;     1.9;    18.2;    12.9;    27.9;    27.2;    37.4;    39.8;    35.6;    48.4;400
1676;GM0358;2019JJ00;15694;16034;6282;1577;    64.6;    35.4;     0.0;    18.2;    13.0;    30.5;    30.3;    42.1;    43.3;    37.4;    60.7;380
1702;GM0197;2017JJ00;13625;13422;3153;280;    69.6;    28.8;     1.6;     9.1;    11.3;    23.4;    24.4;    30.5;    30.4;    29.5;    41.0;320
1703;GM0197;2018JJ00;13559;13403;3038;279;    69.8;    28.7;     1.5;     9.6;    11.3;    24.0;    24.5;    30.8;    31.5;    29.9;    42.7;270
1704;GM0197;2019JJ00;13559;13452;3031;280;    70.8;    29.0;     0.2;     9.4;    11.4;    25.7;    25.7;    32.8;    33.4;    31.3;    51.1;230
1730;GM0480;2017JJ00;;;;;;;;;;;;;;;;
1731;GM0480;2018JJ00;;;;;;;;;;;;;;;;
1732;GM0480;2019JJ00;;;;;;;;;;;;;;;;
1758;GM0739;2017JJ00;;;;;;;;;;;;;;;;
1759;GM0739;2018JJ00;;;;;;;;;;;;;;;;
1760;GM0739;2019JJ00;;;;;;;;;;;;;;;;
1786;GM0305;2017JJ00;;;;;;;;;;;;;;;;
1787;GM0305;2018JJ00;;;;;;;;;;;;;;;;
1788;GM0305;2019JJ00;;;;;;;;;;;;;;;;
1814;GM0059;2017JJ00;14185;13708;1154;273;    62.8;    35.7;     1.5;     7.3;    11.5;    21.5;    22.1;    27.6;    28.1;    27.5;    35.7;570
1815;GM0059;2018JJ00;14203;13732;1175;273;    63.9;    34.5;     1.6;     7.2;    11.6;    21.9;    23.2;    27.7;    28.6;    27.9;    36.9;480
1816;GM0059;2019JJ00;14167;13685;1242;272;    64.0;    35.8;     0.1;     7.9;    11.7;    23.3;    23.4;    29.1;    30.6;    29.1;    39.4;450
1842;GM0360;2017JJ00;;;;;;;;;;;;;;;;
1843;GM0360;2018JJ00;;;;;;;;;;;;;;;;
1844;GM0360;2019JJ00;;;;;;;;;;;;;;;;
1870;GM0482;2017JJ00;9809;10199;2788;2276;    59.6;    40.3;     0.0;     8.9;     8.0;    23.8;    23.5;    31.4;    32.5;    31.7;    39.7;320
1871;GM0482;2018JJ00;9826;10188;2884;2280;    60.5;    39.3;     0.1;     9.3;     8.1;    23.9;    23.8;    31.2;    33.6;    32.0;    42.5;230
1872;GM0482;2019JJ00;9853;10216;2953;2286;    61.3;    38.6;     0.1;     9.2;     8.1;    25.9;    25.3;    33.2;    35.1;    33.2;    45.5;190
1898;GM0613;2017JJ00;12450;12655;4958;1155;    67.3;    31.8;     0.9;     9.9;    10.0;    27.9;    26.5;    38.9;    38.4;    37.0;    46.5;400
1899;GM0613;2018JJ00;12499;12719;5095;1163;    68.0;    31.2;     0.9;     9.4;    10.1;    28.2;    26.0;    39.8;    40.3;    37.3;    52.2;320
1900;GM0613;2019JJ00;12518;12753;5257;1165;    68.9;    31.0;     0.1;     8.1;    10.1;    29.0;    28.0;    41.9;    42.6;    39.0;    57.3;300
1926;GM0483;2017JJ00;;;;;;;;;;;;;;;;
1927;GM0483;2018JJ00;;;;;;;;;;;;;;;;
1928;GM0483;2019JJ00;;;;;;;;;;;;;;;;
1954;GM0361;2017JJ00;53659;54714;23931;981;    57.4;    41.3;     1.3;    55.6;    50.2;    24.3;    23.5;    33.3;    32.7;    31.3;    38.3;1830
1955;GM0361;2018JJ00;53713;54757;24143;982;    58.0;    40.8;     1.2;    55.0;    50.6;    24.8;    24.0;    33.3;    33.3;    31.6;    40.2;1520
1956;GM0361;2019JJ00;53695;54863;24160;983;    58.8;    41.1;     0.1;    57.3;    51.1;    26.1;    25.3;    35.9;    35.5;    32.9;    45.9;1310
1982;GM0141;2017JJ00;36165;36314;18260;1077;    53.5;    46.0;     0.5;    42.1;    31.6;    22.1;    21.1;    29.5;    28.7;    28.6;    39.0;1400
1983;GM0141;2018JJ00;36239;36390;18592;1080;    54.4;    45.1;     0.5;    42.7;    31.8;    22.5;    21.5;    29.1;    29.3;    28.8;    39.6;1110
1984;GM0141;2019JJ00;36421;36428;18849;1083;    54.7;    45.2;     0.1;    43.5;    32.3;    23.5;    23.3;    31.4;    31.4;    30.0;    44.8;1070
2010;GM0034;2017JJ00;99673;101241;81970;1555;    63.7;    36.1;     0.2;    65.3;    82.4;    24.3;    22.9;    34.4;    31.7;    31.4;    35.6;4640
2011;GM0034;2018JJ00;101181;102809;84891;1579;    63.3;    36.4;     0.3;    69.6;    83.9;    25.0;    23.5;    34.3;    32.2;    31.8;    36.9;3920
2012;GM0034;2019JJ00;103082;104822;88742;1609;    64.2;    35.6;     0.2;    72.1;    85.8;    26.0;    24.9;    36.4;    34.2;    33.1;    41.1;3410
2038;GM0484;2017JJ00;54164;54751;20923;861;    62.6;    36.8;     0.6;    42.5;    46.4;    25.5;    25.7;    35.3;    34.2;    32.6;    41.4;1720
2039;GM0484;2018JJ00;54563;55119;21621;869;    63.0;    36.6;     0.4;    43.3;    46.9;    25.9;    25.3;    35.0;    35.6;    33.0;    43.9;1430
2040;GM0484;2019JJ00;55283;55703;22559;879;    63.6;    36.3;     0.1;    44.2;    47.8;    27.5;    27.1;    38.6;    37.7;    34.3;    52.3;1220
2066;GM0741;2017JJ00;;;;;;;;;;;;;;;;
2067;GM0741;2018JJ00;;;;;;;;;;;;;;;;
2068;GM0741;2019JJ00;;;;;;;;;;;;;;;;
2094;GM1723;2017JJ00;5121;4937;1393;108;    75.0;    23.7;     1.2;     2.3;     4.1;    25.1;    28.5;    34.7;    37.6;    35.1;    42.0;160
2095;GM1723;2018JJ00;5139;4944;1425;108;    76.0;    23.1;     0.9;     2.4;     4.1;    26.2;    28.3;    33.9;    38.1;    35.1;    46.0;110
2096;GM1723;2019JJ00;5194;4955;1462;109;    76.2;    23.7;     0.1;     2.6;     4.1;    28.1;    29.7;    37.9;    41.4;    36.5;    53.7;110
2122;GM1959;2017JJ00;;;;;;;;;;;;;;;;
2123;GM1959;2018JJ00;;;;;;;;;;;;;;;;
2124;GM1959;2019JJ00;27876;27510;3882;276;    68.5;    31.1;     0.5;    18.5;    21.9;    26.4;    29.0;    35.2;    37.1;    33.8;    49.1;470
2150;GM0142;2017JJ00;;;;;;;;;;;;;;;;
2151;GM0142;2018JJ00;;;;;;;;;;;;;;;;
2152;GM0142;2019JJ00;;;;;;;;;;;;;;;;
2178;GM1679;2017JJ00;;;;;;;;;;;;;;;;
2179;GM1679;2018JJ00;;;;;;;;;;;;;;;;
2180;GM1679;2019JJ00;;;;;;;;;;;;;;;;
2206;GM0060;2017JJ00;1799;1834;246;62;    64.4;    29.6;     6.0;     1.7;     1.6;    23.2;       .;    30.8;    31.9;    27.2;    41.6;90
2207;GM0060;2018JJ00;1812;1842;266;62;    65.1;    28.7;     6.2;     1.7;     1.6;    22.7;       .;    31.2;    32.9;    27.2;    43.5;70
2208;GM0060;2019JJ00;1819;1854;294;62;    68.3;    30.6;     1.1;     1.7;     1.7;    24.6;       .;    32.7;    37.5;    28.3;    50.5;80
2234;GM0306;2017JJ00;;;;;;;;;;;;;;;;
2235;GM0306;2018JJ00;;;;;;;;;;;;;;;;
2236;GM0306;2019JJ00;;;;;;;;;;;;;;;;
2262;GM0307;2017JJ00;75943;78394;36855;2459;    57.8;    41.8;     0.4;    83.2;    66.0;    25.5;    24.2;    36.0;    35.4;    33.5;    42.2;2910
2263;GM0307;2018JJ00;76486;78740;37561;2479;    58.0;    41.5;     0.5;    88.0;    66.6;    25.7;    24.8;    35.9;    36.1;    34.0;    42.5;2410
2264;GM0307;2019JJ00;77037;79249;38490;2496;    58.5;    41.2;     0.2;    88.7;    67.5;    27.5;    25.9;    38.4;    38.7;    35.4;    49.6;2060
2290;GM0198;2017JJ00;;;;;;;;;;;;;;;;
2291;GM0198;2018JJ00;;;;;;;;;;;;;;;;
2292;GM0198;2019JJ00;;;;;;;;;;;;;;;;
2318;GM0362;2017JJ00;42739;46555;36666;2167;    47.0;    50.6;     2.4;    43.4;    39.5;    27.9;    27.2;    39.4;    42.7;    37.2;    45.6;1450
2319;GM0362;2018JJ00;43067;46803;38350;2185;    47.3;    50.3;     2.3;    45.1;    39.8;    28.3;    27.1;    38.4;    43.9;    37.6;    48.7;1260
2320;GM0362;2019JJ00;43650;47188;40148;2208;    47.3;    52.6;     0.1;    45.1;    40.2;    30.2;    30.2;    42.3;    48.1;    39.5;    62.3;1000
2346;GM0363;2017JJ00;418127;426820;443687;5111;    29.6;    69.7;     0.6;   612.3;   423.8;    26.3;    23.2;    38.9;    36.1;    33.7;    36.9;15840
2347;GM0363;2018JJ00;423114;430933;456324;5160;    29.7;    69.8;     0.5;   634.1;   430.8;    27.0;    23.8;    39.7;    37.9;    34.4;    39.4;13910
2348;GM0363;2019JJ00;427787;435178;470115;5214;    29.8;    69.9;     0.3;   654.9;   435.8;    28.6;    26.0;    42.8;    41.6;    36.5;    44.7;12780
2374;GM0364;2017JJ00;;;;;;;;;;;;;;;;
2375;GM0364;2018JJ00;;;;;;;;;;;;;;;;
2376;GM0364;2019JJ00;;;;;;;;;;;;;;;;
2402;GM0199;2017JJ00;;;;;;;;;;;;;;;;
2403;GM0199;2018JJ00;;;;;;;;;;;;;;;;
2404;GM0199;2019JJ00;;;;;;;;;;;;;;;;
2430;GM0105;2017JJ00;;;;;;;;;;;;;;;;
2431;GM0105;2018JJ00;;;;;;;;;;;;;;;;
2432;GM0105;2019JJ00;;;;;;;;;;;;;;;;
2458;GM0366;2017JJ00;;;;;;;;;;;;;;;;
2459;GM0366;2018JJ00;;;;;;;;;;;;;;;;
2460;GM0366;2019JJ00;;;;;;;;;;;;;;;;
2486;GM0200;2017JJ00;79491;80556;26766;471;    58.7;    41.0;     0.4;    93.6;    69.9;    24.1;    23.5;    34.0;    33.2;    31.4;    42.6;2990
2487;GM0200;2018JJ00;80162;80994;27691;474;    59.8;    39.7;     0.5;    94.4;    70.8;    24.4;    24.3;    33.5;    33.5;    31.6;    43.4;2390
2488;GM0200;2019JJ00;80880;81565;28607;478;    60.2;    39.7;     0.2;    98.7;    71.6;    25.8;    25.3;    36.1;    35.9;    32.9;    50.0;2090
2514;GM0003;2017JJ00;5802;6169;1617;503;    49.0;    50.9;     0.1;     3.7;     5.6;    21.2;    20.2;    27.9;    28.5;    28.6;    36.9;260
2515;GM0003;2018JJ00;5751;6050;1683;496;    48.9;    50.8;     0.4;     3.8;     5.5;    21.8;    21.2;    28.7;    28.5;    28.5;    40.3;190
2516;GM0003;2019JJ00;5720;6001;1684;493;    48.3;    51.7;     0.0;     3.8;     5.5;    22.5;    23.0;    30.1;    30.0;    30.0;    41.9;140
2542;GM0885;2017JJ00;;;;;;;;;;;;;;;;
2543;GM0885;2018JJ00;;;;;;;;;;;;;;;;
2544;GM0885;2019JJ00;;;;;;;;;;;;;;;;
2570;GM0649;2017JJ00;;;;;;;;;;;;;;;;
2571;GM0649;2018JJ00;;;;;;;;;;;;;;;;
2572;GM0649;2019JJ00;;;;;;;;;;;;;;;;
2598;GM0202;2017JJ00;77707;77992;48306;1590;    43.4;    55.4;     1.2;    98.1;    72.8;    22.4;    21.3;    32.1;    31.2;    29.6;    35.2;3210
2599;GM0202;2018JJ00;78509;78714;49657;1607;    43.5;    55.6;     0.9;   101.2;    73.8;    22.7;    21.9;    32.1;    31.9;    30.0;    36.7;2630
2600;GM0202;2019JJ00;79573;79692;51052;1628;    43.8;    55.4;     0.7;   102.7;    75.1;    23.8;    23.1;    34.8;    34.2;    31.1;    41.4;2280
2626;GM0106;2017JJ00;33368;34183;10158;825;    58.2;    40.6;     1.2;    37.9;    30.2;    22.7;    22.4;    32.0;    30.2;    29.6;    35.5;1420
2627;GM0106;2018JJ00;33465;34243;10443;827;    58.0;    40.7;     1.4;    38.1;    30.3;    23.4;    23.0;    31.5;    31.2;    30.0;    36.9;1140
2628;GM0106;2019JJ00;33643;34320;10658;830;    59.4;    40.0;     0.5;    38.8;    30.6;    24.4;    24.4;    33.0;    32.6;    31.3;    40.7;1000
2654;GM0743;2017JJ00;8604;8110;1745;238;    70.6;    29.2;     0.2;     6.8;     7.0;    23.4;    25.7;    33.2;    34.4;    30.7;    43.6;300
2655;GM0743;2018JJ00;8622;8097;1820;238;    70.8;    28.9;     0.4;     6.5;     7.0;    23.2;    27.3;    32.3;    34.7;    31.1;    44.8;270
2656;GM0743;2019JJ00;8592;8118;1859;238;    71.4;    28.5;     0.1;     6.6;     7.0;    25.3;    28.9;    35.2;    38.1;    32.6;    49.7;240
2682;GM0143;2017JJ00;;;;;;;;;;;;;;;;
2683;GM0143;2018JJ00;;;;;;;;;;;;;;;;
2684;GM0143;2019JJ00;;;;;;;;;;;;;;;;
2710;GM0650;2017JJ00;;;;;;;;;;;;;;;;
2711;GM0650;2018JJ00;;;;;;;;;;;;;;;;
2712;GM0650;2019JJ00;;;;;;;;;;;;;;;;
2738;GM0744;2017JJ00;3381;3276;1704;87;    69.5;    29.9;     0.6;     2.7;     2.9;    24.6;    27.4;    31.5;    35.6;    32.4;    42.8;100
2739;GM0744;2018JJ00;3447;3352;1745;89;    69.4;    30.1;     0.5;     2.7;     3.0;    23.2;    27.4;    31.8;    35.0;    32.2;    40.9;80
2740;GM0744;2019JJ00;3477;3370;1748;90;    70.0;    28.0;     2.0;     2.8;     3.0;    24.8;    28.5;    37.1;    38.4;    33.8;    46.6;70
2766;GM0308;2017JJ00;11838;12691;4216;754;    58.4;    37.9;     3.7;    11.8;    10.9;    27.6;    25.8;    41.0;    45.8;    35.7;    54.1;380
2767;GM0308;2018JJ00;11916;12714;4332;757;    60.5;    36.7;     2.8;    11.9;    10.9;    27.6;    27.5;    44.3;    43.2;    36.2;    51.1;350
2768;GM0308;2019JJ00;11985;12782;4477;761;    61.0;    38.7;     0.2;    11.8;    11.0;    28.4;    28.9;    44.7;    47.1;    37.7;    57.2;290
2794;GM0745;2017JJ00;;;;;;;;;;;;;;;;
2795;GM0745;2018JJ00;;;;;;;;;;;;;;;;
2796;GM0745;2019JJ00;;;;;;;;;;;;;;;;
2822;GM0489;2017JJ00;23860;24484;11144;2436;    68.3;    31.5;     0.2;    26.4;    18.8;    28.7;    26.2;    36.9;    37.1;    36.1;    45.6;810
2823;GM0489;2018JJ00;23873;24604;11459;2455;    69.1;    30.7;     0.2;    28.6;    18.9;    28.5;    26.7;    36.1;    37.9;    36.4;    47.2;610
2824;GM0489;2019JJ00;23999;24674;11861;2465;    69.9;    30.0;     0.2;    28.1;    19.1;    32.3;    28.5;    39.3;    41.5;    38.1;    57.7;530
2850;GM0203;2017JJ00;28056;28320;4672;320;    66.4;    32.0;     1.6;    32.4;    20.7;    24.8;    26.1;    34.9;    33.4;    31.0;    41.3;510
2851;GM0203;2018JJ00;28519;28820;4906;326;    67.1;    30.7;     2.3;    33.3;    21.2;    25.4;    26.1;    34.4;    34.4;    31.6;    45.0;430
2852;GM0203;2019JJ00;28917;29054;5019;330;    67.8;    32.0;     0.2;    34.1;    21.5;    27.0;    27.6;    37.6;    37.7;    32.9;    52.2;390
2878;GM0144;2017JJ00;;;;;;;;;;;;;;;;
2879;GM0144;2018JJ00;;;;;;;;;;;;;;;;
2880;GM0144;2019JJ00;;;;;;;;;;;;;;;;
2906;GM0005;2017JJ00;5241;5238;770;235;    68.2;    31.5;     0.4;     3.1;     4.4;    23.3;    23.1;    31.3;    30.5;    29.9;    39.5;200
2907;GM0005;2018JJ00;5235;5240;810;235;    68.7;    30.9;     0.4;     3.3;     4.3;    24.1;    24.4;    31.0;    31.8;    30.4;    42.4;150
2908;GM0005;2019JJ00;;;;;;;;;;;;;;;;
2934;GM0888;2017JJ00;7802;8149;2251;758;    68.8;    30.9;     0.3;     8.6;     7.3;    24.8;    25.0;    32.3;    34.6;    33.3;    41.9;250
2935;GM0888;2018JJ00;7752;8143;2304;756;    69.5;    30.1;     0.4;     8.8;     7.3;    24.9;    25.5;    32.6;    34.4;    33.4;    43.5;220
2936;GM0888;2019JJ00;7774;8155;2374;757;    69.8;    30.0;     0.2;     8.8;     7.3;    26.1;    26.6;    34.9;    37.1;    34.8;    52.9;220
2962;GM0746;2017JJ00;;;;;;;;;;;;;;;;
2963;GM0746;2018JJ00;;;;;;;;;;;;;;;;
2964;GM0746;2019JJ00;;;;;;;;;;;;;;;;
2990;GM1954;2017JJ00;;;;;;;;;;;;;;;;
2991;GM1954;2018JJ00;;;;;;;;;;;;;;;;
2992;GM1954;2019JJ00;17785;17942;5467;456;    72.9;    26.8;     0.3;     8.5;    16.0;    25.4;    27.4;    33.9;    36.8;    34.7;    45.2;430
3018;GM0370;2017JJ00;4580;4625;862;130;    74.1;    25.8;     0.2;     2.9;     3.7;    27.3;    27.0;    37.3;    40.7;    35.9;    47.0;120
3019;GM0370;2018JJ00;4756;4794;949;135;    74.4;    25.4;     0.2;     3.0;     3.8;    27.6;    27.7;    37.0;    40.4;    35.9;    48.3;100
3020;GM0370;2019JJ00;4849;4899;995;138;    75.4;    24.5;     0.1;     3.3;     3.9;    30.2;    29.3;    39.3;    45.2;    38.0;    57.2;90
3046;GM0889;2017JJ00;6768;6637;2112;477;    66.3;    33.5;     0.2;     3.2;     5.8;    23.2;    23.2;    29.9;    31.6;    30.3;    40.0;240
3047;GM0889;2018JJ00;6761;6683;2148;480;    66.8;    32.9;     0.3;     3.3;     5.8;    23.6;    23.5;    29.7;    32.2;    30.9;    41.4;220
3048;GM0889;2019JJ00;6807;6712;2259;483;    67.8;    32.2;     0.0;     3.2;     5.9;    25.9;    24.8;    31.4;    34.6;    32.1;    47.3;190
3074;GM0107;2017JJ00;;;;;;;;;;;;;;;;
3075;GM0107;2018JJ00;;;;;;;;;;;;;;;;
3076;GM0107;2019JJ00;;;;;;;;;;;;;;;;
3102;GM0890;2017JJ00;;;;;;;;;;;;;;;;
3103;GM0890;2018JJ00;;;;;;;;;;;;;;;;
3104;GM0890;2019JJ00;;;;;;;;;;;;;;;;
3130;GM0007;2017JJ00;4534;4385;973;82;    70.6;    28.4;     1.0;     1.7;     4.0;    22.0;    21.9;    29.0;    30.1;    29.6;    38.0;150
3131;GM0007;2018JJ00;;;;;;;;;;;;;;;;
3132;GM0007;2019JJ00;;;;;;;;;;;;;;;;
3158;GM0206;2017JJ00;;;;;;;;;;;;;;;;
3159;GM0206;2018JJ00;;;;;;;;;;;;;;;;
3160;GM0206;2019JJ00;;;;;;;;;;;;;;;;
3186;GM0372;2017JJ00;;;;;;;;;;;;;;;;
3187;GM0372;2018JJ00;;;;;;;;;;;;;;;;
3188;GM0372;2019JJ00;;;;;;;;;;;;;;;;
3214;GM1945;2017JJ00;17303;17461;4893;402;    59.4;    40.1;     0.6;    10.9;    15.2;    23.6;    25.0;    32.9;    34.1;    31.8;    43.8;680
3215;GM1945;2018JJ00;17269;17479;4938;402;    60.7;    38.6;     0.7;    11.0;    15.4;    23.5;    29.1;    32.4;    34.1;    32.0;    45.6;510
3216;GM1945;2019JJ00;17324;17474;4997;403;    61.2;    38.2;     0.6;    11.4;    15.5;    25.1;    27.2;    35.8;    36.8;    33.5;    51.4;410
3242;GM0491;2017JJ00;;;;;;;;;;;;;;;;
3243;GM0491;2018JJ00;;;;;;;;;;;;;;;;
3244;GM0491;2019JJ00;;;;;;;;;;;;;;;;
3270;GM1724;2017JJ00;9339;9003;1790;182;    77.7;    21.4;     0.9;     6.8;     7.6;    25.3;    26.3;    34.6;    36.8;    33.5;    43.7;300
3271;GM1724;2018JJ00;9379;9019;1859;182;    78.4;    20.7;     0.9;     6.7;     7.6;    26.1;    27.9;    34.2;    36.5;    33.7;    45.5;210
3272;GM1724;2019JJ00;9440;9051;1924;183;    78.0;    21.9;     0.1;     6.6;     7.7;    28.0;    32.4;    37.2;    40.9;    35.7;    54.5;190
3298;GM0893;2017JJ00;6532;6563;2008;127;    68.6;    31.2;     0.2;     3.6;     5.5;    23.0;    24.3;    30.8;    32.2;    30.7;    43.7;260
3299;GM0893;2018JJ00;6554;6552;2006;127;    69.6;    30.2;     0.2;     3.7;     5.6;    23.2;    24.1;    30.3;    32.2;    31.3;    39.2;210
3300;GM0893;2019JJ00;6575;6565;2043;127;    70.8;    28.9;     0.3;     3.7;     5.6;    24.6;    27.7;    33.7;    34.1;    32.6;    49.2;170
3326;GM0373;2017JJ00;14385;15459;3792;307;    65.4;    32.0;     2.6;     7.8;    13.5;    30.4;    28.9;    43.6;    42.5;    36.7;    49.1;360
3327;GM0373;2018JJ00;14469;15472;3915;303;    67.0;    30.4;     2.5;     7.9;    13.6;    30.7;    28.3;    41.3;    44.2;    37.8;    55.4;300
3328;GM0373;2019JJ00;14467;15507;4021;303;    67.6;    32.1;     0.3;     8.0;    13.8;    34.7;    31.4;    48.4;    51.7;    38.9;    73.5;240
3354;GM0748;2017JJ00;32745;33419;16039;828;    57.3;    42.3;     0.4;    29.4;    29.2;    23.5;    23.0;    32.3;    32.1;    31.6;    38.8;1550
3355;GM0748;2018JJ00;32878;33476;16384;830;    56.8;    42.7;     0.5;    29.9;    29.3;    23.9;    23.7;    32.0;    33.0;    31.9;    39.8;1100
3356;GM0748;2019JJ00;33152;33659;16798;836;    58.8;    41.0;     0.2;    30.6;    29.7;    25.0;    25.4;    34.2;    34.8;    33.3;    45.8;990
3382;GM0749;2017JJ00;;;;;;;;;;;;;;;;
3383;GM0749;2018JJ00;;;;;;;;;;;;;;;;
3384;GM0749;2019JJ00;;;;;;;;;;;;;;;;
3410;GM0207;2017JJ00;;;;;;;;;;;;;;;;
3411;GM0207;2018JJ00;;;;;;;;;;;;;;;;
3412;GM0207;2019JJ00;;;;;;;;;;;;;;;;
3438;GM0492;2017JJ00;;;;;;;;;;;;;;;;
3439;GM0492;2018JJ00;;;;;;;;;;;;;;;;
3440;GM0492;2019JJ00;;;;;;;;;;;;;;;;
3466;GM0493;2017JJ00;;;;;;;;;;;;;;;;
3467;GM0493;2018JJ00;;;;;;;;;;;;;;;;
3468;GM0493;2019JJ00;;;;;;;;;;;;;;;;
3494;GM0751;2017JJ00;;;;;;;;;;;;;;;;
3495;GM0751;2018JJ00;;;;;;;;;;;;;;;;
3496;GM0751;2019JJ00;;;;;;;;;;;;;;;;
3522;GM1859;2017JJ00;22224;22014;3424;171;    65.9;    32.9;     1.2;    13.6;    18.6;    23.8;    24.9;    30.5;    31.9;    30.6;    41.2;680
3523;GM1859;2018JJ00;22090;21942;3446;171;    67.4;    31.5;     1.0;    14.5;    18.6;    24.1;    24.7;    30.4;    31.8;    31.0;    39.0;520
3524;GM1859;2019JJ00;21991;21913;3473;170;    67.9;    32.0;     0.1;    15.0;    18.7;    25.1;    25.8;    32.9;    34.8;    32.3;    45.1;450
3550;GM0752;2017JJ00;;;;;;;;;;;;;;;;
3551;GM0752;2018JJ00;;;;;;;;;;;;;;;;
3552;GM0752;2019JJ00;;;;;;;;;;;;;;;;
3578;GM1721;2017JJ00;15258;14994;2475;337;    71.6;    27.4;     0.9;     9.6;    12.0;    25.2;    26.7;    34.8;    35.5;    33.1;    43.3;470
3579;GM1721;2018JJ00;15392;15158;2602;340;    71.6;    27.5;     0.9;    10.1;    12.1;    24.8;    29.1;    33.5;    36.1;    33.3;    45.6;400
3580;GM1721;2019JJ00;15529;15277;2711;343;    71.9;    27.8;     0.3;    10.5;    12.3;    27.3;    30.0;    36.5;    41.0;    34.6;    56.9;340
3606;GM0568;2017JJ00;;;;;;;;;;;;;;;;
3607;GM0568;2018JJ00;;;;;;;;;;;;;;;;
3608;GM0568;2019JJ00;;;;;;;;;;;;;;;;
3634;GM0753;2017JJ00;14613;14567;4473;851;    71.7;    27.9;     0.4;    14.6;    12.1;    26.0;    26.7;    35.4;    36.5;    35.0;    44.7;540
3635;GM0753;2018JJ00;14765;14732;4790;860;    71.9;    27.7;     0.4;    14.7;    12.4;    26.7;    26.5;    35.2;    37.4;    35.1;    49.6;440
3636;GM0753;2019JJ00;14927;14894;5052;869;    72.2;    27.5;     0.3;    15.7;    12.6;    31.0;    28.1;    37.3;    40.7;    36.8;    55.6;400
3662;GM0209;2017JJ00;12697;12727;3075;582;    66.7;    32.9;     0.4;     6.5;    10.7;    24.5;    24.7;    33.8;    34.7;    33.0;    42.7;540
3663;GM0209;2018JJ00;12883;12915;3223;591;    68.2;    31.3;     0.5;     6.6;    11.0;    25.3;    24.7;    34.0;    34.7;    33.2;    44.8;410
3664;GM0209;2019JJ00;12924;12958;3319;593;    69.6;    30.3;     0.1;     7.1;    11.0;    26.7;    26.4;    36.8;    38.5;    34.9;    51.8;360
3690;GM0375;2017JJ00;20322;20387;10639;2223;    52.7;    46.9;     0.4;    17.3;    18.6;    24.0;    23.1;    31.5;    32.0;    30.5;    35.9;670
3691;GM0375;2018JJ00;20498;20579;10951;2232;    53.4;    46.3;     0.3;    17.9;    18.7;    24.6;    23.5;    31.8;    32.8;    31.0;    38.3;560
3692;GM0375;2019JJ00;20582;20594;11164;2238;    54.6;    45.3;     0.1;    17.9;    18.8;    25.6;    25.1;    33.7;    34.6;    32.4;    40.6;510
3718;GM0063;2017JJ00;5335;5158;1018;114;    65.3;    32.8;     1.9;     3.1;     4.5;    22.4;    22.1;    28.3;    28.9;    28.3;    34.9;220
3719;GM0063;2018JJ00;;;;;;;;;;;;;;;;
3720;GM0063;2019JJ00;;;;;;;;;;;;;;;;
3746;GM0310;2017JJ00;20434;22320;7321;647;    58.6;    39.8;     1.6;    17.0;    18.8;    28.2;    26.8;    42.5;    44.3;    38.3;    48.8;630
3747;GM0310;2018JJ00;20483;22363;7504;648;    59.3;    39.9;     0.7;    17.5;    18.9;    28.0;    27.5;    42.5;    45.2;    39.0;    52.1;520
3748;GM0310;2019JJ00;20558;22266;7642;648;    60.6;    39.1;     0.3;    17.9;    18.8;    29.4;    29.8;    47.2;    51.2;    40.1;    62.9;480
3774;GM0585;2017JJ00;14439;14683;2679;420;    68.1;    31.6;     0.4;     9.3;    12.4;    27.0;    25.9;    36.0;    36.7;    34.2;    48.0;380
3775;GM0585;2018JJ00;14409;14689;2549;420;    69.1;    30.6;     0.3;    10.0;    12.4;    27.0;    25.8;    35.4;    36.5;    34.6;    47.7;290
3776;GM0585;2019JJ00;;;;;;;;;;;;;;;;
